TEXT_ID,FARM_ID,BEGIN_POP_TOTAL,ANIMAL_IN,DEATH_CULLING_TOTAL,BARN,RAISE_WEEK,RAISE_DAY,BEGIN_POP,FEED_INTAKE_ACTUAL,FEED_TYPE,FEED_INTAKE_STD,ESTIMATED_WEIGHT,CALCULATED_RAISING_WEEK,CALCULATED_RAISING_DAY,START_RAISING_DATE,CREATED_AT,PARENT_BARN,MIN_INDOOR_TEMPERATURE,MAX_INDOOR_TEMPERATURE,MIN_OUTDOOR_TEMPERATURE,MAX_OUTDOOR_TEMPERATURE,DISEASE_NAME_ENGLISH,AFFECTED_COUNT,AFFECTED_PERCENT,DAILY_BEGIN_POP,EXTRACTED_VACCINES,VACCINATION,BRAN_WAREHOUSE,FLIES_DETECTED,GATE_DISINFECTION_PIT,INSECT_NET,LIME_CORRIDOR,RATS_DETECTED,ROUND,FLIES_MOSQUITOES_DETECTED,SPRAYING_DISINFECTANT,SPRAYING_FLY_POISON,SPRINKLING_RAT_BAIT,WILD_ANIMALS_DETECTED,ACTUAL_FOOD_COMES,ACTUAL_PEOPLE_ENTERING,ACTUAL_SUPPLIES,ACTUAL_VEHICLES_ENTERING,PLAN_FOOD_COMES,PLAN_ON_DATE,PLAN_PEOPLE_ENTERING,PLAN_SUPPLIES,PLAN_VEHICLES_ENTERING,ALERT_TOPIC,ALERT_TYPE,REASON
63077687bc0db356ea19,5c0edc121748fe16a759,1412,,0,C1,23,156,731,2.63,Xk120F-H,2.81,89,23,156,0001-12-24,59:54.9,,20,30,18,28,Convulsion,0,0,731,"[
  ""DT"",
  ""LMLM1"",
  ""LMLM2""
]","Dịch Tả, LMLM 1 + 2",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,"+ Sức khỏe đàn sốt 
+Tỉ lệ hô hấp 7%
+ Nên thực tế ăn dưới tiêu chuẩn"
63077687bc0db356ea19,5c0edc121748fe16a759,1412,,0,C2,22,153,681,2.7,xk120SF-X + xk120F-H,2.81,87,23,155,0001-12-24,59:54.9,,20,30,18,28,Sudden death,0,0,681,"[
  ""LMLM1"",
  ""LMLM2""
]",LMLM 1 + 2 ; Dịch Tả,,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,Hô hấp đàn trên 8%
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C4,26,181,479,2.66,XK120SF,3.02,90,26,180,0008-11-24,46:14.7,,18,25,14,25,Convulsion,0,0,481,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"Sức Khoẻ đàn tốt , tỉ lệ hô hấp dưới 5% nên ăn vượt tiêu chuẩn"
972e941b13bc1ce745a8,50d396d55d8fb4d1ed9e,1425,,0,C2,27,184,35,1.6,XK120F-H,3.02,114,27,184,0005-11-24,20:09.5,,18,25,18,25,Pneumonia,0,0,35,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,Thời tiết thay đổi
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C3,26,181,566,2.12,XK120SF,3.02,96,26,180,0008-11-24,46:14.7,,18,25,14,25,Sudden death,0,0,566,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"Sự thay đổi về thời tiết, ngày nắng, đêm lạnh. Lợn có các cá thể hô hấp lên giảm ăn"
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C2,27,187,623,2,XK120SF,3.02,109,27,187,0003-11-24,46:14.7,,18,25,14,25,Pneumonia,0,0,675,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,Thời tiết thay đổi
a732cd6361243e7f6730,f5eb48e8d5b03cee65a1,1911,,0,C1,23,160,594,2.82,Xk120SFX,2.85,,23,160,0022-09-24,51:35.9,,,,,,Pneumonia,0,0,594,"[
  ""SFV"",
  ""FMD1"",
  ""FMD2""
]","SFV, FMD1 , FMD2",Pass,FALSE,,Pass,Pass,FALSE,2,,,,,,FALSE,0,FALSE,0,FALSE,00:00.0,0,FALSE,0,Animal Health,Sudden death Daily,a
8acf83d62c47231c7a53,65cf0df1f7ab1ef547ba,2213,,0,C1,11,77,545,1.24,XK110F + XK120SF-KT,1.36,,11,77,0019-02-25,38:20.7,,21,26,20,26,Arthritis,6,1.1,545,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2, CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"lợn ăn tốt hết cám sớm,cho lợn ăn thêm theo memo ban hành không vượt quá 20%"
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C1,27,185,0,2.07,XK120SF,3.02,98,27,187,0003-11-24,46:14.7,,18,25,14,25,Arthritis,,,676,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,lợn sức khoẻ tốt
ad777ab712391d62442d,0153f68a32d0db8e82c1,1452,,0,C1,27,186,0,2.07,XK120SF,3.02,98,27,187,0003-11-24,24:16.8,,18,25,14,25,Sudden death,0,0,676,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"lợn ăn tốt hết cám sớm,cho lợn ăn thêm theo memo ban hành không vượt quá 20%"
3b51758ca31eac45f50a,07c2da051e5ff701ae4e,1705,,0,C2,24,168,590,2.71,XK102FH,2.93,105,24,168,0024-11-24,41:20.9,,20,25,18,28,Arthritis,0,0,590,"[
  ""SFV1"",
  ""FMD1"",
  ""FMD2""
]","SFV1,FMD1,FMD2",,,,,,,,,,,,,,,,,,,,,,Flock Performance,Estimated Weight,lợn hay ốm trọng lượng nhỏ
e780c5dd6d3f63643a2b,266685297f73962dcf62,5022,,0,C2,12,80,840,1.42,xk110F-,1.42,27,12,80,0022-02-25,43:52.8,,25,26,19,24,Convulsion,0,0,840,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"Phát hiện lượng cám ăn trong ngày hết sớm khoảng 13h-14h , nguyên nhân do sức khoẻ đàn tốt."
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C1,27,185,0,2.07,XK120SF,3.02,98,27,187,0003-11-24,46:14.7,,18,25,14,25,Paralysis,0,0,676,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,sức khỏe lợn ổn định.cám ăn hết sớm
afe39395e300ec5bb514,0b2560149a4e73102a5f,3761,,0,C1,16,107,811,2.32,XK120SFK,2,55,16,107,0020-01-25,59:17.5,,24,30,21,28,Convulsion,0,0,811,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,"Thời tiết thay đổi thất thường, độ ẩm cao"
506cf5c0488c40d71998,7d3b4b3eda6633386a77,2416,,0,C4,12,82,592,1.48,XK110F,1.46,,12,81,0008-02-25,35:45.3,,19,27,18,29,Arthritis,,,592,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,Mortality Daily,Co giật.
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C3,26,181,566,2.12,XK120SF,3.02,96,26,180,0008-11-24,46:14.7,,18,25,14,25,Sudden death,0,0,566,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,Estimated Weight,lợn hay ốm trọng lượng nhỏ
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C2,27,187,623,2,XK120SF,3.02,109,27,187,0003-11-24,46:14.7,,18,25,14,25,Paralysis,0,0,675,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Animal Health,Paralysis Daily,FMD giai đoạn tuần tuổi 16 đến 20
3b51758ca31eac45f50a,07c2da051e5ff701ae4e,1705,,0,C1,24,168,556,2.88,XK120FH,2.93,100,24,165,0024-11-24,41:20.9,,20,25,18,28,Diarrhea,0,0,556,"[
  ""SFV1"",
  ""FMD1"",
  ""FMD2""
]","SFV1,FMD1,FMD2",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"sức khoẻ đàn tốt nên ăn vượt so với tiêu chuẩn, lượng ăn bằng tiêu chuẩn chỉ ăn đến 5h-5h30 là hết."
46a1da5f2fa921f278bd,50d396d55d8fb4d1ed9e,1192,,,C1,27,185,788,2.89,XK120F-H,3.02,119,27,185,0005-11-24,13:37.1,,18,25,18,25,Pneumonia,0,,787,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,"phát hiện tỷ lệ heo bị viêm phổi tăng, do thời tiết thay đổi"
4086c80965f46aaf33e0,7fa9fda836f2dfac86e3,2207,,0,C3,27,187,740,2.97,XK120F-H,3.02,120,27,187,0031-10-24,51:00.7,,22,30,22,30,Sudden death,0,0,740,"[
  ""SFV1"",
  ""FMD1""
]","SFV1 và FMD 1,2",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,"Heo bị hô hấp 2,83%, nguyên nhân tìm thấy: thay đổi thời tiết"
85e7324c15ef24b47dfb,7d3b4b3eda6633386a77,2417,,0,C2,11,72,615,1.17,XK110F,1.23,,11,72,0006-02-25,00:12.8,,20,23,18,22,Arthritis,,,615,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",Pass,FALSE,,Pass,Pass,FALSE,2,,,,,,,,,,,,,,,Flock Performance,FI Daily,lợn gặp vấn đề hô hấp
e0437c9b1e7d10264969,21352dede9b700e959a6,2656,,1,C3,25,171,740,2.44,XK120F-H,2.96,,25,171,0022-11-24,04:11.4,,25,30,22,29,Arthritis,,,740,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,Estimated Weight,có thể nhầm lẫn ở tiêu chuẩn cân nặng theo tuần
e48b0d760f9301c85887,0b2560149a4e73102a5f,3761,,0,C3,15,102,632,2.28,XK120SF-K,1.91,55,15,105,0021-01-25,00:16.0,,19,27,14,23,Convulsion,0,0,632,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"lợn sức khoẻ tốt, thu nhận thức ăn tốt"
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C2,27,187,623,2,XK120SF,3.02,109,27,187,0003-11-24,46:14.7,,18,25,14,25,Paralysis,0,0,675,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Animal Health,Pneumonia Daily,"+ Sức khỏe đàn sốt 
+Tỉ lệ hô hấp 7%
+ Nên thực tế ăn dưới tiêu chuẩn"
816534ee0e60013b5874,322cf7ea33b0daee83a1,1848,,0,C3,12,83,646,1.55,XK120SF-KT,1.48,40,12,83,0014-02-25,25:12.1,,23,26,22,28,Sudden death,0,0,646,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,"Sức Khoẻ đàn tốt , tỉ lệ hô hấp dưới 5% nên ăn vượt tiêu chuẩn"
3c7d94daa138af63f62c,0153f68a32d0db8e82c1,1665,,3,C4,26,181,479,2.66,XK120SF,3.02,90,26,180,0008-11-24,46:14.7,,18,25,14,25,Paralysis,0,0,481,"[
  ""FMD1"",
  ""FMD2"",
  ""CSF1""
]","FMD 1,FMD 2,CSF 1",,,,,,,,,,,,,,,,,,,,,,Flock Performance,FI Daily,Do chạy hệ thống cám tự động công nhân cho ăn chưa đều.
